File/Folder Name;Path;Type;URL;Size (bytes);Created Time
RPS_Pendidikan Agama Kristen.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Pendidikan Agama Kristen.docx;File;https://docs.google.com/document/d/1jLcmpm9QwXl2difPLVv4xAX70XK97Dqa/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647045;2026-06-23T04:59:44.234Z
RPS_Pendidikan Agama Konghucu.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Pendidikan Agama Konghucu.docx;File;https://docs.google.com/document/d/1THdxOBiYQ-P4O9VSSd2UonL46JlaxMgB/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1648213;2026-06-23T04:59:40.687Z
RPS_Pendidikan Agama Katolik.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Pendidikan Agama Katolik.docx;File;https://docs.google.com/document/d/1VEbnXzduXphGnMbsqbEF6BtfOi1o3iS5/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647583;2026-06-23T04:59:37.372Z
RPS_Pendidikan Agama Islam.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Pendidikan Agama Islam.docx;File;https://docs.google.com/document/d/1U0mXBvmfGusMtjtty_At5XlstFr0jvJE/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647262;2026-06-23T04:59:34.255Z
RPS_Pendidikan Agama Hindu.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Pendidikan Agama Hindu.docx;File;https://docs.google.com/document/d/1Qbfzay-Zl6IKdBrdEABGqXVp8_UmvQnO/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1648403;2026-06-23T04:59:30.917Z
RPS_Pendidikan Agama Buddha.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Pendidikan Agama Buddha.docx;File;https://docs.google.com/document/d/16-7dIxH34Icld7LI4SiXZ0nfUzzhgCqb/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1648367;2026-06-23T04:59:26.874Z
RPS_Material Teknik Elektro.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Material Teknik Elektro.docx;File;https://docs.google.com/document/d/1NUeYXWtKwjYYxIUA5Jy9OpehocHa2K2A/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646610;2026-06-23T04:59:19.257Z
RPS_Kalkulus.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Kalkulus.docx;File;https://docs.google.com/document/d/18z2AVjIUzakU579kCYe3e6DKyrVvz1gw/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646940;2026-06-23T04:58:31.932Z
RPS_Fisika Mekanika.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Fisika Mekanika.docx;File;https://docs.google.com/document/d/1yXhvH1iUcCLF99b_T4yFYmXhp6gRaB8L/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646938;2026-06-23T04:58:15.375Z
RPS_Dasar Telekomunikasi.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Dasar Telekomunikasi.docx;File;https://docs.google.com/document/d/1qd4UVKn2zhZv3GNquvltOtd90aXuGSjy/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647091;2026-06-23T04:57:48.522Z
RPS-OBE-EMBEDED SYSTEM.pdf;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS-OBE-EMBEDED SYSTEM.pdf;File;https://drive.google.com/file/d/1YjJ0QxpQ18J3tv5RtaIOMuUhM8k4LkHk/view?usp=drivesdk;228892;2026-06-13T08:50:51.384Z
RPS-OBE-KWU BERBASIS TEKNOLOGI.pdf;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS-OBE-KWU BERBASIS TEKNOLOGI.pdf;File;https://drive.google.com/file/d/1hPVQGFIJ_p8G-O1wsYGrN5SEwqrrLxJv/view?usp=drivesdk;242281;2026-06-13T08:50:54.516Z
RPS-OBE-KALKULUS.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS-OBE-KALKULUS.docx;File;https://docs.google.com/document/d/1Fe63OIKKq_SWedDnD8wVHVXCcPx03RhS/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;93311;2026-06-13T08:50:53.233Z
RPS_Transmisi dan Distribusi .pdf;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS_Transmisi dan Distribusi .pdf;File;https://drive.google.com/file/d/1WY7oEJnSAAR2ZURCRSj3Pot7iIITHm41/view?usp=drivesdk;333387;2026-06-13T08:50:58.338Z
RPS-OBE-PROBABILITAS STATISTIK.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS-OBE-PROBABILITAS STATISTIK.docx;File;https://docs.google.com/document/d/1SLW_pspW1ubh4hW85eGWB4YtUaeomvcy/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;96066;2026-06-13T08:50:54.888Z
RPS-OBE-MATEMATIKA DISKRIT.pdf;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS-OBE-MATEMATIKA DISKRIT.pdf;File;https://drive.google.com/file/d/1Cn2A01b5HM6rW37H-ClUpX_YJhQUSViy/view?usp=drivesdk;230469;2026-06-13T08:50:56.933Z
