Judul ,Auhor,Nama Penerbit,Tahun Terbit,TS,Jenis Publikasi,Jenis Luaran,Relevansi  dengan visi keilmuan,PUBLISHER,jumlah sitasi,terindex scopus,Rank SINTA,Keunggulan Dosen,Peran Dosen ,Publikasi Mahasiswa,Cek Duplikasi,Link Bukti,,,,,,,,,,
Effect of prime mover regenerator radius on the performance and characteristic of acoustic field of thermoacoustic refrigerator driven by prime mover,"I Farikhah, RN Isnandi, I Setiawan, R Hermana, ED Rokhmawati, ...","Thermal Science 28 (2 Part C), 1837-1848",2024,TS-121,Jurnal internasional bereputasi / majalah profesi internasional*,Penelitian,V,Thermal Science,,Ya,Prosiding Internasional terindeks Scopus / IEEE Xplore / Scopus,Ya,,,Unique,,,,,,,,,,,"Thermal Science 28 (2 Part C), 1837-1848"
"Experimental Insights into the Impact of HeliumBased Binary Gas Mixtures on Thermoacoustic 
 Electricity Generation","Ikhsan Setiawan1,*, Prastowo Murti2
 , Irna Farikhah3
 , Agung B S Utomo","International 
 Journal of Advances 
 in Applied Sciences 
 (IJAAS)",2024,TS-121,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,,International Journal of Advances in Applied Sciences (IJAAS),,Tidak,SINTA 3,,,,Unique,,,,,,,,,,,Jurnal Pendidikan Fisika dan Teknologi
"Implementation internet of things-based catfish aquaculture to 
 measure water quality and minimize pond waste","Rizky Muliani Dwi Ujianti , Setyoningsih Wibowo, Bambang Hadi Kunaryo",COMMUNITY EMPOWERMENT,2023,TS-121,Jurnal nasional terakreditasi / majalah profesi nasional*,,V,Community Empowerment,,Tidak,SINTA 4,,,,Unique,,,,,,,,,,,MEDIA KONSTRUKSI
"Integrating educational and health technologies for cattle farmers 
 in the development of a renewable energy-based village in Kuripan, 
 Demak","Achmad Buchori, Suwarno Widodo; Siti Maisyaroh Bakti Pertiwi; Adhi Kusmantoro;",COMMUNITY EMPOWERMENT,2025,TS-121,Jurnal nasional terakreditasi / majalah profesi nasional*,,V,Community Empowerment,,Tidak,SINTA 4,,,,Unique,,,,,,,,,,,Widya Teknik
Kajian Literatur: Model Pembelajaran Problem Based Learning Pada Materi Fisika Terhadap Hasil Belajar Siswa,"NR Zulva, S Ristanto, N Khoiri","Lontar Physics Today 3 (2), 055-063",2024,TS-121,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,,Lontar Physics Today,,Tidak,SINTA 4,,,,Unique,,,,,,,,,,,JPF (Jurnal Pendidikan Fisika) Universitas Islam Negeri Alauddin Makassar Vol 12
Pendampingan Pembenahan Instalasi Sistem CCTV untuk Masjid Baitul Rohmah Pudak Payung Semarang,"M Amiruddin, I Harjanto, BH Kunaryo, M Margono","PaKMas: Jurnal Pengabdian Kepada Masyarakat 3 (1), 74-79",2023,TS-121,Jurnal nasional terakreditasi / majalah profesi nasional*,Pengabdian,V,PaKMas: Jurnal Pengabdian Kepada Masyarakat,,Tidak,SINTA 6,,,,Unique,,,,,,,,,,,"PaKMas: Jurnal Pengabdian Kepada Masyarakat 3 (1), 74-79"
"Review Paper on Bluetooth Based Home Automation Using Android Phone,, ","P. Bhardwaj et al., ""","2023 International Conference on Sustainable Emerging Innovations in Engineering and Technology (ICSEIET), Ghaziabad, India, 2023, pp. 494-496",2023,TS-121,Prosiding tidak terindeks di seminar internasional / pertemuan himpunan profesi nasional*,,,,,,,,,,Unique,,,,,,,,,,,JPF (Jurnal Pendidikan Fisika) Universitas Islam Negeri Alauddin Makassar
Solar power and multi-battery for new configuration DC microgrid using centralized control,"A Kusmantoro, I Farikhan",Archives of Electrical Engineering 72 (4),2023,TS-121,Jurnal internasional bereputasi / majalah profesi internasional*,Penelitian,V,Archives of Electrical Engineering,,Ya,Prosiding Internasional terindeks Scopus / IEEE Xplore / Scopus,Ya,,,Unique,,,,,,,,,,,Archives of Electrical Engineering 72 (4)
"PKM Program Perbaikan dan Edukasi Penggunaan Peralatan Audio
 Bagi Panti Asuhan Fachrudin Semaran","Bambang Hadi Kunaryo1*
 , Afeef Kurnia Rahmawan1
 , Ganjar Winasis1
 , dan Rifki Hermana2",IRA Jurnal Pengabdian Kepada Masyarakat (IRAJPKM),9 Agustus 2025,TS-1,Jurnal Nasional Tidak Terakreditasi,,V,IRA Jurnal Pengabdian Kepada Masyarakat (IRAJPKM),,Tidak,Belum Terakreditasi,,,,Unique,https://e-journals.irapublishing.com/index.php/IRAJPKM/article/view/275/220,,,,,,,,,,E-Dimas: Jurnal Pengabdian kepada Masyarakat
Analisa Perbandingan Performansi Kecepatan Downlink Dan Uplink Pada Jaringan 4g Lte Antara Provider Jaringan Indosat Dan Smartfren Di Kawasan Tlogosari Semarang,"bahar juni santika Adhi Kusmantoro, Bambang Hadi Kunaryo",JETI,1/10/2024,TS-1,Jurnal nasional tidak terakreditasi,,,,,,,,,Ya,Unique,https://journal2.upgris.ac.id/index.php/jeti/article/view/921/721,,,,,,,,,,"International 
 Journal of Advances 
 in Applied Sciences 
 (IJAAS)"
